object ID,name,NGC,type,constellation,magnitude,size,distance,age,Stars,viewingSeason
M1,Crab Nebula,NGC 1952,Supernova Remnant,Taurus,8.4,6.0' x 4.0',"6,300",970 years,N/A,Winter
M2,NGC 7089,NGC 7089,Globular Cluster,Aquarius,6.5,11.7',"37,500",13 billion years,"150,000",Autumn
M3,NGC 5272,NGC 5272,Globular Cluster,Canes Venatici,6.2,18.6',"33,900",11.4 billion years,"500,000",Spring
M4,NGC 6121,NGC 6121,Globular Cluster,Scorpius,5.6,22.8',"7,200",12.2 billion years,"100,000",Summer
M5,NGC 5904,NGC 5904,Globular Cluster,Serpens Caput,5.6,19.9',"24,500",13 billion years,"500,000",Summer
M6,Butterfly Cluster,NGC 6405,Open Cluster,Scorpius,5.3,15.0',"2,000",100 million years,80,Summer
M7,Ptolemy's Cluster,NGC 6475,Open Cluster,Scorpius,4.1,30.0',800,200 million years,80,Summer
M8,Lagoon Nebula,NGC 6523,Diffuse Nebula,Sagittarius,6,90.0' x 40.0',"5,200",2 million years,Thousands of young stars,Summer
M9,NGC 6333,NGC 6333,Globular Cluster,Ophiucus,7.7,5.5',"26,700",12 billion years,"250,000",Summer
M10,NGC 6254,NGC 6254,Globular Cluster,Ophiucus,6.6,12.2',"14,400",11.4 billion years,"100,000",Summer
M11,Wild Duck Cluster,NGC 6705,Open Cluster,Scutum,6.3,14.0',"6,000",220 million years,"2,900",Summer
M12,NGC 6218,NGC 6218,Globular Cluster,Ophiucus,6.7,12.2',"16,000",12 billion years,"200,000",Summer
M13,Hercules Globular Cluster,NGC 6205,Globular Cluster,Hercules,5.8,23.2',"22,800",11.65 billion years,"300,000",Summer
M14,NGC 6402,NGC 6402,Globular Cluster,Ophiucus,7.6,6.7',"27,400",13 billion years,"400,000",Summer
M15,NGC 7078,NGC 7078,Globular Cluster,Pegasus,6.2,12.3',"33,600",12 billion years,"100,000",Autumn
M16,Eagle Nebula Cluster,NGC 6611,Open Cluster,Serpens Claudia,6.4,25.0',"7,000",1–2 million years,Thousands of stars forming,Summer
M17,Omega Nebula,NGC 6618,Diffuse Nebula,Sagittarius,7,45.0' x 35.0',"5,000",1 million years,Thousands of stars forming,Summer
M18,NGC 6613,NGC 6613,Open Cluster,Sagittarius,7.5,9.0',"4,900",30 million years,50,Summer
M19,NGC 6273,NGC 6273,Globular Cluster,Ophiucus,6.8,5.3',"27,100",11.9 billion years,"400,000",Summer
M20,Trifid Nebula,NGC 6514,Diffuse Nebula,Sagittarius,9,29.0' x 27.0',"5,200","300,000 years",Star-forming region,Summer
M21,NGC 6531,NGC 6531,Open Cluster,Sagittarius,6.5,13.0',"4,250",4 million years,60,Summer
M22,NGC 6656,NGC 6656,Globular Cluster,Sagittarius,5.1,17.0',"10,100",12 billion years,"350,000",Summer
M23,NGC 6494,NGC 6494,Open Cluster,Sagittarius,6.9,25.0',"2,150",220 million years,150,Summer
M24,Milky Way Patch,NGC 6603,Star Cloud,Sagittarius,4.6,45.0',"10,000",N/A,,Summer
M25,IC 4725,IC 4725,Open Cluster,Sagittarius,6.5,35.0',"2,000",90 million years,600,Summer
M26,NGC 6694,NGC 6694,Open Cluster,Scutum,8,15.0',"5,000",80 million years,90,Summer
M27,Dumbbell Nebula,NGC 6853,Planetary Nebula,Vulpecula,7.4,8.0' x 5.7',"1,250","9,800 years",N/A,Summer
M28,NGC 6626,NGC 6626,Globular Cluster,Sagittarius,6.8,15.0',"17,900",12 billion years,"200,000",Summer
M29,NGC 6913,NGC 6913,Open Cluster,Cygnus,7.1,7.0',"4,000",10 million years,50,Summer
M30,NGC 7099,NGC 7099,Globular Cluster,Capricornus,7.2,8.9',"24,800",12.9 billion years,"200,000",Autumn
M31,Andromeda Galaxy,NGC 224,Spiral Galaxy,Andromeda,3.4,180.0' x 63.0',"2,900,000",10 billion years,1 trillion,Autumn
M32,Satellite of M31,NGC 221,Elliptical Galaxy,Andromeda,8.1,7.6' x 5.8',"2,900,000",N/A,,Autumn
M33,Triangulum Galaxy,NGC 598,Spiral Galaxy,Triangulum,5.7,62.0' x 39.0',"3,000,000",10 billion years,40 billion,Autumn
M34,NGC 1039,NGC 1039,Open Cluster,Perseus,5.5,35.0',"1,400",200 million years,400,Autumn
M35,NGC 2168,NGC 2168,Open Cluster,Gemini,5.3,30.0',"2,800",150 million years,"1,600",Winter
M36,NGC 1960,NGC 1960,Open Cluster,Auriga,6.3,12.0',"4,100",25 million years,60,Winter
M37,NGC 2099,NGC 2099,Open Cluster,Auriga,6.2,24.0',"4,400",350 million years,500,Winter
M38,NGC 1912,NGC 1912,Open Cluster,Auriga,7.4,21.0',"4,200",220 million years,100,Winter
M39,NGC 7092,NGC 7092,Open Cluster,Cygnus,5.2,32.0',825,300 million years,30,Autumn
M40,Winecke 4,,Double Star,Ursa Major,9.3,49.0',510,N/A,2,Spring
M41,NGC 2287,NGC 2287,Open Cluster,Canis Major,4.6,30.0',"2,300",200 million years,,Winter
M42,Orion Nebula,NGC 1976,Diffuse Nebula,Orion,4,30.0',"1,600",1–3 million years,Thousands of stars,Winter
M43,de Mairan's Nebula,NGC 1982,Diffuse Nebula,Orion,9,20.0' x 15.0',"1,600",1–3 million years,Thousands of stars,Winter
M44,Beehive Cluster,NGC 2632,Open Cluster,Cancer,3.7,70.0',577,600 million,"1,000",Winter
M45,Pleiades,,Open Cluster,Taurus,1.6,120.0',380,100 million,,Winter
M46,NGC 2437,NGC 2437,Open Cluster,Puppis,6,24.0',"5,400",300 million years,500,Winter
M47,NGC 2422,NGC 2422,Open Cluster,Puppis,5.2,22.0',"1,600",78 million years,50,Winter
M48,NGC 2548,NGC 2548,Open Cluster,Hydra,5.5,42',"1,500",300 million years,80,Winter
M49,NGC 4472,NGC 4472,Elliptical Galaxy,Virgo,8.4,8.9' x 7.4',"60,000,000",10–13 billion years,Hundreds of billions,Spring
M50,NGC 2323,NGC 2323,Open Cluster,Monocerus,6.3,16.0' x 5.5',"3,000",140 million years,200,Winter
M51,Whirlpool Galaxy,NGC 5194,Spiral Galaxy,Canes Venatici,8.4,11.0' x 7.8',"37,000,000",N/A,N/A,Spring
M52,NGC 7654,NGC 7654,Open Cluster,Cassiopeia,7.3,13.0',"5,000",35 million years,200,Autumn
M53,NGC 5024,NGC 5024,Globular Cluster,Coma Berenices,7.6,14.4',"56,400",12.7 billion years,"500,000",Spring
M54,NGC 6715,NGC 6715,Globular Cluster,Sagittarius,7.6,5.5',"82,800",13 billion years,"1,000,000",Summer
M55,NGC 6809,NGC 6809,Globular Cluster,Sagittarius,6.3,14.8',"16,600",12.3 billion years,"100,000",Summer
M56,NGC 6779,NGC 6779,Globular Cluster,Lyra,8.3,2.4',"31,600",12.5 billion years,"230,000",Summer
M57,Ring Nebula,NGC 6720,Planetary Nebula,Lyra,8.8,1.4' x 1.0',"4,100","7,000 years",N/A,Summer
M58,NGC 4579,NGC 4579,Spiral Galaxy,Virgo,9.7,5.4' x 4.4',"60,000,000",N/A,N/A,Spring
M59,NGC 4621,NGC 4621,Elliptical Galaxy,Virgo,9.6,5.1' x 3.4',"60,000,000",N/A,N/A,Spring
M60,NGC 4649,NGC 4649,Elliptical Galaxy,Virgo,8.8,7.2' x 6.2',"60,000,000",10–13 billion years,Hundreds of billions,Spring
M61,NGC 4303,NGC 4303,Spiral Galaxy,Virgo,9.7,6.0' x 5.5',"60,000,000",N/A,N/A,Spring
