MessierKey,object ID,name,NGC,type,constellation,magnitude,size,distance,age,Stars,viewingSeason
78,M79,NGC 1904,NGC 1904,Globular Cluster,Lepus,7.7,7.8',"41,100",11.7 billion years,"150,000",Winter
79,M80,NGC 6093,NGC 6093,Globular Cluster,Scorpius,7.3,5.1',"27,400",12 billion years,"500,000",Summer
80,M81,Bode's Galaxy,NGC 3031,Spiral Galaxy,Ursa Major,6.9,26.0' x 14.0',"12,000,000",12 billion years,250 billion,Spring
81,M82,Cigar Galaxy,NGC 3034,Irregular Galaxy,Ursa Major,8.4,11.0' x 4.6',"12,000,000",Younger,30 billion,Spring
82,M83,Southern Pinwheel Galaxy,NGC 5236,Spiral Galaxy,Hydra,7.6,11.0' x 10.0',"15,000,000",N/A,N/A,Spring
83,M84,NGC 4374,NGC 4374,Lenticular (S0) Galaxy,Virgo,9.1,5.0' x 4.4',"60,000,000",10–13 billion years,Hundreds of billions,Spring
84,M85,NGC 4382,NGC 4382,Lenticular (S0) Galaxy,Coma Berenices,9.1,7.1' x 5.2',"60,000,000",N/A,N/A,Spring
85,M86,NGC 4406,NGC 4406,Lenticular (S0) Galaxy,Virgo,8.9,7.4' x 5.5',"60,000,000",10–13 billion years,Hundreds of billions,Spring
86,M87,Virgo A,NGC 4486,Elliptical Galaxy,Virgo,8.6,7.2' x 6.8',"60,000,000",13 billion years,Trillions,Spring
87,M88,NGC 4501,NGC 4501,Spiral Galaxy,Coma Berenices,9.6,6.9' x 3.9',"60,000,000",N/A,N/A,Spring
88,M89,NGC 4552,NGC 4552,Elliptical Galaxy,Virgo,9.8,4.2' x 4.2',"60,000,000",10–13 billion years,Hundreds of billions,Spring
89,M90,NGC 4569,NGC 4569,Spiral Galaxy,Virgo,9.5,9.5' x 4.7',"60,000,000",10–13 billion years,Hundreds of billions,Spring
90,M91,NGC 4548,NGC 4548,Spiral Galaxy,Coma Berenices,10.2,5.4' x 4.4',"60,000,000",N/A,N/A,Spring
91,M92,NGC 6341,NGC 6341,Globular Cluster,Hercules,6.4,12.2',"26,400",13 billion years,"330,000",summer
92,M93,NGC 2447,NGC 2447,Open Cluster,Puppis,6,22.0',"3,600",100 million years,80,winter
93,M94,NGC 4736,NGC 4736,Spiral Galaxy,Canes Venatici,8.2,11.0' x 9.1',"14,500,000",10–13 billion years,Billions,Spring
94,M95,NGC 3351,NGC 3351,Spiral Galaxy,Leo,9.7,7.4' x 5.1',"38,000,000",10–13 billion years,Billions,Spring
95,M96,NGC 3368,NGC 3368,Spiral Galaxy,Leo,9.2,7.1' x 5.1',"38,000,000",10–13 billion years,Billions,Spring
96,M97,Owl Nebula,NGC 3587,Planetary Nebula,Ursa Major,9.9,3.4' x 3.3',"2,600",N/A,N/A,Spring
97,M98,NGC 4192,NGC 4192,Spiral Galaxy,Coma Berenices,10.1,9.5' x 3.2',"60,000,000",10–13 billion years,Billions,Spring
98,M99,NGC 4254,NGC 4254,Spiral Galaxy,Coma Berenices,9.9,5.4' x 4.8',"60,000,000",10–13 billion years,Billions,Spring
99,M100,NGC 4321,NGC 4321,Spiral Galaxy,Coma Berenices,9.3,6.9' x 6.2',"60,000,000",10–13 billion years,Billions,Spring
100,M101,Pinwheel Galaxy,NGC 5457,Spiral Galaxy,Ursa Major,7.9,27.0' x 26.0',"27,000,000",10–13 billion years,Billions,Spring
101,M102,Spindle Galaxy,NGC 5866,Lenticular (S0) Galaxy,Draco,9.9,5.2' x 2.3',"40,000,000",N/A,N/A,Summer
102,M103,NGC 581,NGC 581,Open Cluster,Cassiopeia,7.4,5.0',"8,000",25 million years,40,Autumn
103,M104,Sombrero Galaxy,NGC 4594,Spiral Galaxy,Virgo,8,8.9' x 4.1',"50,000,000",10–13 billion years,Hundreds of billions,Spring
104,M105,NGC 3379,NGC 3379,Elliptical Galaxy,Leo,9.3,4.5' x 4.0',"38,000,000",10–13 billion years,Billions,Spring
105,M106,NGC 4258,NGC 4258,Spiral Galaxy,Canes Venatici,8.4,18.0' x 7.9',"25,000,000",10–13 billion years,Billions,Spring
106,M107,NGC 6171,NGC 6171,Globular Cluster,Ophiucus,7.9,7.8',"19,600",N/A,N/A,Summer
107,M108,NGC 3556,NGC 3556,Spiral Galaxy,Ursa Major,10,8.3' x 2.5',"45,000,000",10–13 billion years,Billions,Spring
108,M109,NGC 3992,NGC 3992,Spiral Galaxy,Ursa Major,9.8,7.6' x 4.9',"55,000,000",10–13 billion years,Billions,Spring
109,M110,Satellite of M31,NGC 205,Elliptical Galaxy,Andromeda,8.5,17.0' x 9.8',"2,900,000",10–13 billion years,Billions,Autumn
110,Mercury,Mercury,,Planet,,,,,,,
111,Venus,Venus,,Planet,,,,,,,
112,Mars,Mars,,Planet,,,,,,,
113,Jupiter,Jupiter,,Planet,,,,,,,
114,Saturn,Saturn,,Planet,,,,,,,
115,Uranus,Uranus,,Planet,,,,,,,
116,Neptune,Neptune,,Planet,,,,,,,
117,Pluto,Pluto,,Dwarf Planet,,,,,,,
118,Moon,Moon,,Natural Satellite,,,,,,,
119,NGC7009,Saturn Nebula,,Planetary Nebula,Aquarius,8,41″ × 35″,"5,200-3900",N/A,1,Autumn
120,NGC7293,Helix Nebula,NGC 7293,Planetary Nebula,Aquarius,7.3,16.0' x 14.0',650,"10,600 years",N/A,Autumn
121,Beta1 Cygni,Albireo,N/A,Optical Binary Star,Cygnus,"3.2, 4.67",34.6'',400,N/A,2,Autumn
